email subject,email body,company name (expected output)
Jane Street Application Received,"Hello, Thank you for applying for a position at Jane Street. This email is to confirm that we received your resume and will be in touch shortly regarding your status. Thank you for your interest in Jane Street.",Jane Street
Thanks for applying to Stripe!,"Hi Aaryaman, Thanks so much for submitting your application for the Software Engineer, Intern role! As a reminder, we have recorded your location preference and cohort preference (if applicable, Winter, or Summer) based on your application responses so only one application is required. With the high volume of applications, our University Recruiting team will review applications on a rolling basis which may cause a delay in our response times. We appreciate your understanding and, in the meantime, encourage you to check out our quick guide to Stripe culture [0], our blog [1], and our LinkedIn page [2] to get a feel for what we're up to at Stripe. We hope to connect soon! Stripe [0] https://stripe.com/jobs/life-at-stripe [1] https://stripe.com/blog [2] https://www.linkedin.com/company/stripe ** Please note: this inbox does not accept replies so your warm responses will not be received",Stripe
"Aaryaman, Thanks for Applying for Salesforce's Summer 2025 Intern - Software Engineer","Hi Aaryaman, Hooray! You have officially applied for the Summer 2025 Intern - Software Engineer opening at Salesforce. Thank you for letting us know you’re interested in discovering new opportunities with us. Good news – your information is now in the cloud. A member of our recruiting team will personally review your application. If you’re a potential match for one of our open positions, we’ll be in touch. If we don’t have the right role for you now, don’t worry, we’ll keep your information on file for future opportunities. You can check on the status of your application at any point by logging into our Careers Site. ( https://salesforce.wd12.myworkdayjobs.com/External_Career_Site) Click the button in the right corner, then select “view profile.” Thanks again for considering Salesforce and have a great week! The Salesforce Recruiting Team P.S. This is an auto-generated message. Please do not reply to this email. For information on Salesforce's commitment regarding your privacy, please see our Candidate Privacy Statement Get to know us better here: This email was intended for aaryaman04@gmail.com salesforce.com inc. • Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, CA 94105",Salesforce
"Aaryaman, your application was sent to American Institute of Insurance Research","Your application was sent to American Institute of Insurance Research ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your application was sent to American Institute of Insurance Research Software Engineer Intern American Institute of Insurance Research · Atlanta Metropolitan Area (Hybrid) Applied on December 26, 2024 Now, take these next steps for more success View similar jobs you may be interested in Software Engineering Intern Airbnb · United States (Remote) 24 company alumni 92 school alumni Software Engineering Intern Teradata · California, United States (Remote) 3 company alumni 24 school alumni Software Engineering Intern Ontra · United States (Remote) 2 company alumni 1 school alum This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",American Institute of Insurance Research
Your application was viewed by [P1] Games,"Your application was viewed by [P1] Games ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your application was viewed Great job getting noticed by the hiring team at [P1] Games Volunteer Game Developer [P1] Games · United States Applied on Dec 22 Explore similar jobs recommended for you Summer 2025 Software Engineer Intern - US & Canada Whatnot · United States Game Developer Microsoft · United States Volunteer Game Programmer [P1] Games · United States Show all similar jobs Next, strengthen your profile The hiring team may want to learn more about you. Your experiences, skills and summary are what recruiters look for most. Update your profile Connect with people you know who work at [P1] Games Reach out for valuable insight into company culture, team dynamics, and the hiring process. Kai Mitchell Marketing Manager View profile View profile Show more Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",[P1] Games
"Aaryaman, your application was sent to [P1] Games","Your application was sent to [P1] Games ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your application was sent to [P1] Games Volunteer Game Developer [P1] Games · United States (Remote) Applied on December 22, 2024 Now, take these next steps for more success View similar jobs you may be interested in Software Engineering Intern Airbnb · United States (Remote) 24 company alumni 91 school alumni Software Engineer Intern - Summer 2025 (Remote) CrowdStrike · Sunnyvale, CA (Remote) 8 company alumni 56 school alumni Intern - Back End Software Developer Hagerty Consulting · United States (Remote) 1 school alum This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",[P1] Games
"Aaryaman, your application was sent to Vantiva","Your application was sent to Vantiva‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to Vantiva Software Engineer Intern - IoT Division Vantiva · Norcross, GA Applied: 20 seconds ago View similar jobs you may be interested in Software Engineer Intern - Summer 2024 Youth Civic Hub · New York, NY Software Engineering Internship - Summer 2024 Tech For Good Inc · Boston, MA Software Engineering Intern ManTech · United States See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Vantiva
"Aaryaman, your application was sent to Hangtight","Your application was sent to Hangtight‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to Hangtight Software Engineer Intern Hangtight · United States Applied: 36 seconds ago View similar jobs you may be interested in Software Engineer Intern HHAeXchange · United States Software Engineering Intern LinkSquares · United States Web Development Intern NextGen Federal Systems · Morgantown, WV See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Hangtight
Your application was viewed by TuneTunnel,"Your application was viewed by TuneTunnel ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your application was viewed Great job getting noticed by the hiring team at TuneTunnel Software Engineer Intern TuneTunnel · Atlanta, Georgia, United States Applied on May 29 Explore similar jobs recommended for you Software Engineer Intern Boostability · United States Full Stack Developer Intern CoE Mentoring · Silver Spring, Maryland, United States Remote Software Engineer Intern Paprika · San Francisco, California, United States Show all similar jobs Next, strengthen your profile The hiring team may want to learn more about you. Your experiences, skills and summary are what recruiters look for most. Update your profile Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",TuneTunnel
"Aaryaman, your application was sent to TuneTunnel","Your application was sent to TuneTunnel‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to TuneTunnel Software Engineer Intern TuneTunnel · Atlanta, GA Applied: 12 minutes ago View similar jobs you may be interested in Full Stack Developer Intern CoE Mentoring · Silver Spring, MD Entry Level Software Engineer (Remote) Engtal · United States Software Engineer- Intern (IBM i) Help/Systems · United States See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",TuneTunnel
