email subject,email body,binary classification (expected output)
Thank you for applying to Salesforce,"Hello, Thank you for considering a career with Salesforce! We received your resume from a Salesforce employee and have reviewed your background and qualifications for the Summer 2025 Software Engineering Internship to which you were submitted. Your resume has been sent to the recruiter and hiring team for review. The team will be in touch if there is an interest in moving forward. Our team is still reviewing resume on a rolling basis throughout the recruiting season, which ends in February. We appreciate your patience on this process. Thanks so much for your time and consideration. Best regards, The Futureforce University Recruiting Team This email was intended for hamzaqadri.careers@gmail.com salesforce.com inc. · Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, CA 94105",
[Action Requested by 1/10]: Your Wayfair Software Engineering Intern (Boston) Application,"Hi there, Thank you for your interest in the Software Engineering Intern - Summer 2025 (Boston) position at Wayfair! We are reaching out to confirm your continued interest in this position, as we will resume application review and interviews in the new year. We appreciate your patience. Please complete this quick form (~1 min) by EOD Friday, January 10th to let us know that you are still interested in being considered for this role. Please note if you do not complete this form we cannot guarantee your application will be reviewed. *If you applied to more than one SWE Intern role, you may receive more than one email asking you to confirm your interest. Please complete the forms in each email you receive if you would like to be considered. Wishing you a great end to the semester and a very happy holiday season! Sincerely, The Wayfair Campus Recruiting Team Please do not reply to this email as this email address is not monitored.",
Your Application for Software Engineering Internship with Red Hat,"Dear Hamza, Thank you again for taking the time to apply to the Software Engineering Internship role at Red Hat. We wanted to let you know that we have decided to move forward with other candidates for the role. We understand that this news might be disappointing and we value the time you have spent on this. While the opportunity was not a match this time, we hope you'll continue to keep Red Hat in mind for future opportunities. Please continue to check our career site and apply if you see a position where you meet the job requirements. We will keep your resume and profile in our database, which will make your next application much faster and easier to complete. We wish you all the best in your job search! Thanks, Red Hat Talent Acquisition Team Job Application Date : 2024 09 21 This email was intended for hamzaqadri.careers@gmail.com",
Update on your application: We're moving forward with other candidates,"Dear Hamza , Thank you again for taking the time to apply to our Software Engineering Internship role here at Red Hat. We wanted to let you know that we have decided to move forward with other candidates for the role. We understand that this news might be disappointing and we value the time you have spent on this. While this opportunity was not a good match, we hope you'll continue to keep Red Hat in mind for future opportunities. Please continue to check our career site at http://jobs.redhat.com for new opportunities and apply if you see a position where you meet the job requirements. We will keep your resume and profile in our database, which will make your next application much faster and easier to complete. We wish you all the best in your job search! Thanks, Red Hat Global Talent Acquisition Team This email was intended for hamzaqadri.careers@gmail.com",
BlackRock | Application update,"Hi Syed Hamza, Thank you for your interest in the 2025 Summer Internship Program - Technology - Software Engineering - San Francisco. After careful consideration, we regret to inform you that we will not be moving forward with your candidacy for this program. We appreciate your interest in the firm and wish you all the best in the next steps of your career. BlackRock Campus Recruiting",
Response to Your Honeywell Application,"RESPONSE TO YOUR HONEYWELL APPLICATION Dear Syed Hamza: Thank you for your interest in the position of Future IT Leaders - Summer 2025 Intern - req460193 at Honeywell. We are always interested in considering talented people for career opportunities with our organization. However, at this time we are pursuing other candidates whose qualifications more closely align with the job requirements for this position. We encourage you to view other jobs on the Honeywell Careers Website , where you can also sign up to get emails about specific positions and learn more about what it’s like to work with us, Once again, we thank you for your interest in Honeywell and wish you every success in your career endeavors. Best regards, Honeywell Talent Acquisition The Future Is What We Make It. #Futureshaper Make an Impact. Make Real Connections. Make the Best You. CSOD SYSTEM ID: 239917581",
Thank you for your application to Oracle,"Hello Syed Hamza, Thank you for your interest in the position of Software Engineer Intern - OCI (Nashville, TN)-256006. We know it takes time and energy to apply, so we appreciate you considering us. The hiring manager has chosen to move forward with another candidate so we will not be able to explore this particular role further at this time. We will continue to consider you for similar roles as they become available, and we look forward to exploring those opportunities with you. Note: This email is only related to the Job requisition indicated above. If you are already in touch with the Oracle Hiring team for other role(s) apart from this role OR you have interviews that are scheduled and not yet completed, rest assured this rejection doesn’t impact your progress on those role(s). As always, please feel free to contact your Talent Advisor for further updates. Best of luck with your job search! Oracle Talent Acquisition",
Two Sigma - Incomplete Application,"Hi Syed Hamza, We're reaching out because we noticed you started your application for our Software Engineering Internship - NYC role. Please note that your application will not be reviewed until it is submitted. As such, we ask that you please log in to complete your application at your earliest convenience. Best, Two Sigma Recruiting",
DoorDash Application Status,"Hi Syed Hamza, Thank you for your interest in DoorDash and for taking the time to apply to the Software Engineer, Intern, 2024/25 (University Recruiting) position. After careful consideration, we have decided to not move forward with your application at this time. If you’ve applied to other positions, you will still be considered for those until otherwise noted. Although it is against our company policy to provide specific feedback, we’d love to keep in touch with you for future opportunities. We recommend that you follow us on social media at our careers site and on LinkedIn to stay up to date on all things DoorDash. Thank you again for your interest and we wish you the best of luck in your search! Regards, DoorDash Recruiting Team",
Two Sigma - Incomplete Application,"Hi Syed Hamza, We're reaching out because we noticed you started your application for our Software Engineering Internship - NYC role. Please note that your application will not be reviewed until it is submitted. As such, we ask that you please log in to complete your application at your earliest convenience. Best, Two Sigma Recruiting",
